Country,Industry,mean_size,max_size
,2349211,7.89692071082589,67564.0
afghanistan,376,12.824468085106384,528.0
united states,2278866,17.627809182286278,274047.0
united kingdom,511968,12.163857897368585,158363.0
spain,143941,10.825775838711694,32008.0
brazil,108382,16.936142532892916,31454.0
germany,118575,12.742905334176681,87381.0
norway,25936,17.59172578655151,12066.0
italy,109818,12.558606057294798,14858.0
canada,186621,16.22547301750607,42136.0
azerbaijan,1205,13.234854771784232,751.0
australia,117133,13.250851596048935,26156.0
netherlands,136809,15.830625178168104,60324.0
argentina,24483,16.290977412898744,6803.0
russia,11878,17.89888870180165,5182.0
united arab emirates,21639,23.374231711262073,19657.0
qatar,2323,36.018941024537234,11988.0
turkey,35350,15.953974540311174,21612.0
india,144444,22.216852205699094,190771.0
switzerland,32742,33.41518538879726,58538.0
belgium,47581,14.611189340282886,16546.0
vietnam,4933,10.16480843300223,2105.0
france,114706,23.839738113089116,84218.0
Åland islands,48,10.458333333333334,167.0
lebanon,3209,16.058896852602057,4806.0
romania,12976,10.708307644882861,3332.0
denmark,29213,20.398555437647623,9533.0
cyprus,3239,12.033961099104662,1979.0
mexico,33701,16.605234266045517,18137.0
portugal,21586,11.623181691837303,2701.0
china,36548,17.788524679873042,57255.0
chile,21030,15.906990014265336,7351.0
malaysia,11088,20.251262626262626,10013.0
austria,10300,16.24776699029126,7942.0
poland,21954,11.066274938507789,3823.0
sweden,34942,27.02964913284872,67692.0
finland,17193,22.682312569068806,84327.0
maldives,302,11.21523178807947,273.0
hungary,7064,9.680492638731597,1892.0
south africa,26631,24.656640757012504,18967.0
croatia,4663,11.614625777396526,1623.0
rwanda,289,9.463667820069205,352.0
egypt,8818,17.870832388296666,4331.0
dominican republic,1882,13.52922422954304,1245.0
new zealand,19544,14.884414654113794,7005.0
serbia,4705,9.377895855472902,1716.0
philippines,8968,23.60236396074933,8034.0
indonesia,14938,26.91571830231624,10268.0
ireland,20426,27.026730637422894,190689.0
panama,2239,11.247431889236266,2321.0
kuwait,1758,31.381683731513082,7000.0
singapore,17842,20.698071965026344,19039.0
hong kong,8282,18.098647669645015,8286.0
saudi arabia,7137,40.32562701415161,27631.0
israel,10097,15.111815390710111,3270.0
taiwan,3463,30.616228703436327,17217.0
bangladesh,5245,15.68789323164919,3327.0
peru,10285,19.557608167233834,6647.0
ethiopia,426,24.248826291079812,2335.0
bahrain,1301,18.1391237509608,1305.0
bulgaria,6110,8.115711947626842,1095.0
lithuania,4256,8.285009398496241,1006.0
uruguay,3036,14.399209486166008,4618.0
malta,1855,10.934231805929919,773.0
greece,10937,10.405412818871719,5992.0
ecuador,3583,11.588054702763047,1063.0
barbados,165,5.048484848484849,56.0
albania,775,10.258064516129032,480.0
pakistan,10266,24.087473212546268,4988.0
slovakia,4186,9.392498805542283,1096.0
jersey,583,14.370497427101201,1243.0
burkina faso,102,9.07843137254902,277.0
sri lanka,3022,17.564857710125743,3097.0
belarus,1049,10.245948522402287,590.0
colombia,17448,16.669131132508024,12629.0
thailand,5675,14.68193832599119,3815.0
ukraine,6481,12.123283443912976,2518.0
japan,8911,26.33655033105151,16756.0
jordan,2912,16.482142857142858,3227.0
macedonia,1181,9.935647756138865,478.0
czechia,12684,14.291233049511195,19894.0
slovenia,3283,10.12945476698142,1409.0
south korea,2153,48.86855550394798,19552.0
morocco,4011,12.960608327100474,3414.0
fiji,1318,21.73216995447648,1576.0
iceland,1017,17.148475909537858,1380.0
tanzania,1054,14.055028462998102,762.0
latvia,2699,10.121896998888477,1803.0
kazakhstan,944,18.801906779661017,2841.0
luxembourg,3685,26.70664857530529,8343.0
costa rica,3127,10.563159577870163,2726.0
guatemala,1588,11.836901763224182,1093.0
puerto rico,1350,12.330370370370371,2981.0
venezuela,3869,18.88730938226932,11723.0
mongolia,459,10.148148148148149,499.0
nigeria,7584,16.643855485232066,4354.0
cambodia,1123,10.056990204808548,402.0
tunisia,2541,10.031877213695395,1895.0
bosnia and herzegovina,997,7.480441323971916,409.0
kenya,5006,15.849780263683579,3129.0
cayman islands,369,22.85636856368564,1616.0
paraguay,754,7.73607427055703,434.0
guernsey,325,8.166153846153847,421.0
oman,1338,25.576233183856502,5293.0
algeria,1292,25.81578947368421,12376.0
armenia,1022,8.329745596868884,558.0
iran,7114,11.285352825414675,4392.0
northern mariana islands,14,7.571428571428571,25.0
ghana,2016,9.815972222222221,1289.0
nepal,1613,7.279603223806571,807.0
gibraltar,277,13.332129963898916,593.0
mozambique,514,10.11089494163424,667.0
mauritius,1009,14.157581764122893,914.0
sudan,311,15.128617363344052,524.0
nicaragua,545,8.51743119266055,365.0
haiti,79,4.6835443037974684,41.0
san marino,120,6.291666666666667,118.0
montenegro,337,6.278931750741839,212.0
côte d’ivoire,486,8.679012345679013,517.0
laos,116,9.086206896551724,162.0
cameroon,1149,6.312445604873803,821.0
georgia,1294,10.946676970633694,1064.0
greenland,100,24.64,332.0
bermuda,746,30.347184986595174,4534.0
bolivia,976,10.073770491803279,464.0
zimbabwe,2858,7.615115465360392,1313.0
benin,280,7.753571428571429,289.0
syria,438,10.974885844748858,832.0
senegal,688,10.061046511627907,1074.0
new caledonia,165,13.733333333333333,378.0
netherlands antilles,114,7.815789473684211,180.0
estonia,3286,8.014911746804625,2753.0
réunion,73,12.753424657534246,371.0
botswana,300,19.84,682.0
honduras,528,10.62310606060606,900.0
macau,149,28.02013422818792,888.0
el salvador,779,12.474967907573813,674.0
martinique,147,6.346938775510204,412.0
monaco,518,12.642857142857142,752.0
myanmar,801,7.861423220973783,502.0
saint vincent and the grenadines,51,6.509803921568627,130.0
saint lucia,318,6.959119496855346,1081.0
libya,346,9.601156069364162,310.0
jamaica,772,20.55181347150259,3424.0
curaçao,249,12.48995983935743,457.0
cuba,123,17.4390243902439,592.0
guyana,49,16.20408163265306,190.0
mayotte,18,5.055555555555555,53.0
democratic republic of the congo,329,9.592705167173252,272.0
cape verde,70,7.0285714285714285,85.0
papua new guinea,243,35.37860082304527,1271.0
angola,721,14.606102635228849,1213.0
suriname,176,10.636363636363637,450.0
são tomé and príncipe,14,2.857142857142857,15.0
iraq,768,13.524739583333334,803.0
zambia,480,16.05625,764.0
madagascar,282,11.624113475177305,946.0
belize,218,6.10091743119266,261.0
sierra leone,75,10.333333333333334,209.0
palestine,439,13.856492027334852,1323.0
isle of man,587,14.264054514480408,742.0
togo,167,5.059880239520958,115.0
malawi,168,13.791666666666666,367.0
moldova,553,7.69620253164557,411.0
guinea,95,8.336842105263157,214.0
kosovo,85,5.1647058823529415,90.0
trinidad and tobago,479,15.624217118997912,1256.0
american samoa,6,42.5,167.0
faroe islands,96,8.822916666666666,95.0
north korea,6,2.3333333333333335,7.0
south sudan,38,10.473684210526315,190.0
liechtenstein,260,41.66153846153846,5831.0
uganda,1144,14.866258741258742,1796.0
british virgin islands,280,12.267857142857142,242.0
equatorial guinea,48,31.333333333333332,633.0
somalia,77,13.220779220779221,252.0
guadeloupe,180,4.455555555555556,234.0
andorra,245,8.693877551020408,311.0
namibia,386,15.11139896373057,724.0
bhutan,58,20.655172413793103,679.0
saint kitts and nevis,28,6.571428571428571,94.0
brunei,100,26.01,739.0
chad,12,3.1666666666666665,14.0
samoa,24,4.791666666666667,22.0
yemen,115,6.165217391304348,156.0
niger,29,8.517241379310345,170.0
bahamas,301,12.225913621262459,501.0
uzbekistan,214,7.929906542056075,262.0
seychelles,132,6.666666666666667,66.0
anguilla,21,7.476190476190476,90.0
french guiana,62,7.741935483870968,196.0
tajikistan,49,9.285714285714286,146.0
aruba,130,6.969230769230769,140.0
marshall islands,18,13.277777777777779,129.0
gabon,117,6.170940170940171,78.0
guam,54,11.88888888888889,377.0
kyrgyzstan,109,9.779816513761467,165.0
montserrat,3,37.0,106.0
svalbard and jan mayen,14,8.357142857142858,46.0
lesotho,42,18.857142857142858,233.0
western sahara,3,6.0,15.0
djibouti,26,10.26923076923077,115.0
french polynesia,76,21.63157894736842,642.0
burundi,35,4.685714285714286,37.0
vanuatu,40,4.575,77.0
mali,75,7.1866666666666665,163.0
swaziland,62,17.161290322580644,242.0
mauritania,38,6.7368421052631575,75.0
u.s. virgin islands,1,1.0,1.0
tuvalu,25,4.48,51.0
gambia,40,11.55,215.0
liberia,63,9.492063492063492,153.0
turks and caicos islands,60,3.8333333333333335,37.0
palau,7,6.571428571428571,28.0
cook islands,26,9.076923076923077,66.0
saint martin,7,0.8571428571428571,2.0
antigua and barbuda,14,1.8571428571428572,5.0
kiribati,63,4.603174603174603,88.0
solomon islands,15,4.8,29.0
caribbean netherlands,31,2.064516129032258,12.0
turkmenistan,27,5.62962962962963,67.0
comoros,6,2.5,5.0
timor-leste,14,2.2142857142857144,10.0
saint pierre and miquelon,1,1.0,1.0
dominica,26,23.076923076923077,524.0
eritrea,4,11.5,45.0
grenada,10,71.6,682.0
central african republic,4,7.5,16.0
guinea-bissau,14,5.285714285714286,52.0
linkedin.com/company/chillilogic,1,2.0,2.0
tonga,6,5.166666666666667,20.0
republic of the congo,4,1.75,2.0
sint maarten,7,3.142857142857143,10.0
saint barthélemy,1,1.0,1.0
micronesia,5,112.4,524.0
niue,1,2.0,2.0
linkedin.com/company/swedish-anti-counterfeiting-group-sacg,1,0.0,0.0
norfolk island,1,1.0,1.0
saint helena,1,11.0,11.0
